Date,Time,Temperature (°C),Humidity (%),Pressure (hPa),Light Intensity (Lux),CO2 (ppm),PM1.0 (µg/m³),PM2.5 (µg/m³),PM10.0 (µg/m³),Uptime,Sensors Online
14/3/2026,11:19:23 am,37.39,36.36,1013.18,121.19,761,46,69,77,N/A,N/A
14/3/2026,11:19:34 am,37.39,36.36,1013.18,121.19,759,45,68,76,N/A,N/A
14/3/2026,11:19:43 am,37.41,36.36,1013.2,123.03,768,45,69,77,N/A,N/A
14/3/2026,11:19:54 am,37.4,36.36,1013.14,121.65,764,46,68,78,N/A,N/A
14/3/2026,11:20:04 am,37.43,36.36,1013.19,121.65,759,46,68,78,N/A,N/A
14/3/2026,11:20:14 am,37.46,36.27,1013.22,123.03,770,45,65,76,N/A,N/A
14/3/2026,11:20:24 am,37.47,36.27,1013.16,121.19,759,45,66,76,N/A,N/A
14/3/2026,11:20:34 am,37.46,36.27,1013.22,122.11,762,45,66,76,N/A,N/A
14/3/2026,11:20:44 am,37.44,36.27,1013.2,120.73,764,45,66,77,N/A,N/A
14/3/2026,11:20:54 am,37.41,36.27,1013.19,122.57,756,48,70,79,N/A,N/A
14/3/2026,11:21:05 am,37.37,36.27,1013.2,122.57,759,47,70,79,N/A,N/A
14/3/2026,11:21:15 am,37.41,36.27,1013.17,122.11,745,45,68,78,N/A,N/A
14/3/2026,11:21:26 am,37.36,36.27,1013.18,121.65,756,45,68,78,N/A,N/A
14/3/2026,11:21:36 am,37.31,36.27,1013.15,121.65,757,46,68,78,N/A,N/A
14/3/2026,11:21:46 am,37.31,36.18,1013.14,121.65,755,46,66,77,N/A,N/A
14/3/2026,11:21:56 am,37.29,36.08,1013.11,123.03,757,45,66,76,N/A,N/A
14/3/2026,11:22:06 am,37.27,36.1,1013.16,122.57,758,46,68,77,N/A,N/A
14/3/2026,11:22:17 am,37.28,36.08,1013.18,121.65,754,45,67,76,N/A,N/A
14/3/2026,11:22:27 am,37.25,36.19,1013.17,123.96,753,46,68,78,N/A,N/A
14/3/2026,11:22:37 am,37.27,36.19,1013.17,122.11,751,45,65,76,N/A,N/A
14/3/2026,11:22:48 am,37.27,36.19,1013.15,122.57,743,46,67,78,N/A,N/A
14/3/2026,11:22:58 am,37.28,36.27,1013.16,123.49,746,45,65,76,N/A,N/A
14/3/2026,11:23:08 am,37.29,36.27,1013.15,123.49,750,46,67,77,N/A,N/A
14/3/2026,11:23:18 am,37.31,36.27,1013.13,123.03,748,44,67,76,N/A,N/A
14/3/2026,11:23:28 am,37.37,36.18,1013.14,122.57,754,46,69,77,N/A,N/A
